Run,Assay Type,BioSample,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,AvgSpotLen,Bases,Bytes,BioProject,SRA Study,source_name,GEO_Accession (exp),TISSUE,Library Name,Genotype,TREATMENT,Strain,Cell_line,Cell_type,Age,Cultivar,BioSampleModel,molecule_subtype,sex,REPLICATE,experiment_type,Sample_Name,LINE,Isolate,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,dev_stage,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,External_Id,Submitter_Id,SAMPLE_TYPE,Ecotype,Fraction,Broker_name,common_name,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,TIME_POINT,Developmental_stage,Organism_part,BIOMATERIAL_PROVIDER,AssemblyName,growth_condition,Collection_Date,intentional_duplicate (run),Stage,Molecule,protocol,Experimental_Factor:_protocol (exp),PHENOTYPE,agent,genotype/variation,BREED,growth_protocol,disease,library_type,harvest_condition,Experimental_Factor:_organism (exp),Experimental_Factor:_organism_part (exp),performer,replicate_type,used_library?,Condition,Passages,Replica,TEMP,collected_by,Experimental_Factor:_environmental_stress (exp),Experimental_Factor:_time (exp),Batch,shRNA,Experimental_Factor:_genotype (exp),Biological_Replicate,sub_species,environmental_stress,Hours_post_infection,Individual,media,TIME,rna_fraction,rna_type,Isolation_Source,assay,Timepoint,sequencing,cell_subtype,genetic_modification,Harvest_method,rt_enzyme,total_rna_selection_method,stress,Experimental_Factor:_compound (exp),HOST,virus_strain,ip_antibody,siRNA,gender,substrain,material,disease_stage,rna_population,metastatic_capacity,clip_antibody,Lat_Lon,cell_line/type,Experimental_Factor:_growth_condition (exp),PASSAGE,manipulation,culture_method,drug_treatment,Growth_rate,tissue_type,CULTURE_COLLECTION,ethinicity,Experimental_Factor:_dose (exp),tissue_source,transgene,BARCODE,Experimental_Factor:_cell_line (exp),chloroplast_donor_strain,chloroplast_genome
SRR15906252,OTHER,SAMN21443843,GEO,public,SRX12196691,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580277,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-09-15T16:22:00Z,1,150,2910962550,1143970716,PRJNA763584,SRP337255,larvae,GSM5580277,,,wide-type,non-starved,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906255,OTHER,SAMN21443846,GEO,public,SRX12196694,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580280,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2021-09-15T16:30:00Z,1,150,5232967050,2060035135,PRJNA763584,SRP337255,larvae,GSM5580280,,,wide-type,starved for 6 days,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906257,OTHER,SAMN21443848,GEO,public,SRX12196696,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580282,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2021-09-15T16:22:00Z,1,150,3108673650,1258070558,PRJNA763584,SRP337255,larvae,GSM5580282,,,wide-type,starved for 6 days and refed with food for 10 min,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906258,OTHER,SAMN21443849,GEO,public,SRX12196697,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580283,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2021-09-15T16:23:00Z,1,150,3286729800,1373222451,PRJNA763584,SRP337255,larvae,GSM5580283,,,wide-type,starved for 6 days and refed with food for 30 min,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906276,OTHER,SAMN21443837,GEO,public,SRX12196715,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580301,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2021-09-15T16:27:00Z,1,150,5754680100,2353392475,PRJNA763584,SRP337255,larvae,GSM5580301,,,trl-1(cas1077),starved for 6 days and refed with food for 10 min,GOU4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906277,OTHER,SAMN21443838,GEO,public,SRX12196716,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580302,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2021-09-15T16:27:00Z,1,150,5797994850,2387845239,PRJNA763584,SRP337255,larvae,GSM5580302,,,trl-1(cas1077),starved for 6 days and refed with food for 10 min,GOU4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906278,OTHER,SAMN21443839,GEO,public,SRX12196717,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580303,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2021-09-15T16:27:00Z,1,150,5608034400,2326530727,PRJNA763584,SRP337255,larvae,GSM5580303,,,trl-1(cas1077),starved for 6 days and refed with food for 30 min,GOU4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906279,OTHER,SAMN21443840,GEO,public,SRX12196718,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580304,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2021-09-15T16:39:00Z,1,150,6409832550,2659661951,PRJNA763584,SRP337255,larvae,GSM5580304,,,trl-1(cas1077),starved for 6 days and refed with food for 30 min,GOU4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906292,OTHER,SAMN21443803,GEO,public,SRX12196731,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580317,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2021-09-15T16:47:00Z,1,150,5598332100,2317420567,PRJNA763584,SRP337255,larvae,GSM5580317,,,trl-1(cas1078),non-starved,GOU4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR15906295,OTHER,SAMN21443806,GEO,public,SRX12196734,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-03-23T00:00:00Z,GSM5580320,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2021-09-15T16:30:00Z,1,150,4664889150,1985975162,PRJNA763584,SRP337255,larvae,GSM5580320,,,trl-1(cas1078),starved for 6 days,GOU4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
