"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX19973679","GSM7177581: AIM29 KO, Ribo-seq; Saccharomyces cerevisiae W303; OTHER","Saccharomyces cerevisiae W303","NextSeq 2000","Vladimir Denic, Molecular and Cellular Biology, Ha","SRP432738","Ribosome profiling of Aim29-knockout S.cerevisiae cells","SRS17320316","","1162.08","1","28267859","3476946657","GSM7177581","OTHER","TRANSCRIPTOMIC","other"
"SRX19973678","GSM7177580: Wild-type, Ribo-seq; Saccharomyces cerevisiae W303; OTHER","Saccharomyces cerevisiae W303","NextSeq 2000","Vladimir Denic, Molecular and Cellular Biology, Ha","SRP432738","Ribosome profiling of Aim29-knockout S.cerevisiae cells","SRS17320315","","903.45","1","22199508","2730539484","GSM7177580","OTHER","TRANSCRIPTOMIC","other"
"SRX19846746","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205637","","2127.65","1","64804547","4925145572","RPL39l_2_11_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846745","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205638","","2593.53","1","78943082","5999674232","RPL39l_2_11_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846744","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205639","","2368.5","1","72106228","5480073328","RPL39l_2_11_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846743","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205636","","2370.89","1","72134877","5482250652","RPL39l_2_9_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846742","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205635","","2167.18","1","65979265","5014424140","RPL39l_2_9_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846741","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205647","","2486.8","1","75704934","5753574984","RPL39l_2_9_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846740","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205645","","1996.94","1","60680309","4611703484","RPL39l_1_20_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846739","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205646","","1923.79","1","58412820","4439374320","RPL39l_1_20_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846738","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205643","","2213.35","1","67461543","5127077268","RPL39l_1_20_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846737","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205644","","2261.65","1","68907342","5236957992","RPL39l_1_17_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846735","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205642","","2254.69","1","68612057","5214516332","RPL39l_1_17_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846734","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205641","","2363.56","1","72005138","5472390488","RPL39l_1_17_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846733","Ribo-seq of mESC: WT","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205640","","2136.81","1","64948737","4936104012","RPL39l_WT_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846732","Ribo-seq of mESC: WT","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205634","","1970.43","1","59947723","4556026948","RPL39l_WT_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
