"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX19846746","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205637","","2127.65","1","64804547","4925145572","RPL39l_2_11_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846745","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205638","","2593.53","1","78943082","5999674232","RPL39l_2_11_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846744","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205639","","2368.5","1","72106228","5480073328","RPL39l_2_11_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846743","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205636","","2370.89","1","72134877","5482250652","RPL39l_2_9_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846742","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205635","","2167.18","1","65979265","5014424140","RPL39l_2_9_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846741","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205647","","2486.8","1","75704934","5753574984","RPL39l_2_9_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846740","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205645","","1996.94","1","60680309","4611703484","RPL39l_1_20_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846739","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205646","","1923.79","1","58412820","4439374320","RPL39l_1_20_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846738","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205643","","2213.35","1","67461543","5127077268","RPL39l_1_20_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846737","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205644","","2261.65","1","68907342","5236957992","RPL39l_1_17_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846735","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205642","","2254.69","1","68612057","5214516332","RPL39l_1_17_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846734","Ribo-seq of mESC: CRISPR-KO of RPL39L","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205641","","2363.56","1","72005138","5472390488","RPL39l_1_17_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846733","Ribo-seq of mESC: WT","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205640","","2136.81","1","64948737","4936104012","RPL39l_WT_3_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846732","Ribo-seq of mESC: WT","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205634","","1970.43","1","59947723","4556026948","RPL39l_WT_2_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19846731","Ribo-seq of mESC: WT","Mus musculus","NextSeq 500","University of Basel","SRP430560","Functional analysis of ribosomal protein RPL39L","SRS17205633","","2195.96","1","66687716","5068266416","RPL39l_WT_1_RIBOSEQ","OTHER","TRANSCRIPTOMIC","other"
"SRX19759905","RiboSeq-WT-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125077","","11789.53","1","84610279","25383083700","RiboSeq-WT-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759904","RiboSeq-WT-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125076","","7164.28","1","52867492","15860247600","RiboSeq-WT-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759897","RiboSeq-pam68-3","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125069","","5615.99","1","60991459","18297437700","RiboSeq-pam68-3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759896","RiboSeq-fpb1-3","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125068","","4677.88","1","50185676","15055702800","RiboSeq-fpb1-3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759895","RiboSeq-WT-3","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125067","","4796.32","1","51829965","15548989500","RiboSeq-WT-3","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759894","RiboSeq-lpa1-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125066","","10339.26","1","75494223","22648266900","RiboSeq-lpa1-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759893","RiboSeq-lpa1-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125065","","8790.68","1","63939014","19181704200","RiboSeq-lpa1-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759892","RiboSeq-pam68-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125064","","8189.2","1","59739942","17921982600","RiboSeq-pam68-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759891","RiboSeq-pam68-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125063","","8582.52","1","62762384","18828715200","RiboSeq-pam68-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759890","RiboSeq-fpb1-2","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125062","","11271.7","1","80579990","24173997000","RiboSeq-fpb1-2","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19759889","RiboSeq-fpb1-1","Arabidopsis","Complete Genomics","Shanghai Normal University","SRP429001","Ribo-seq of Arabidopsis: leaf","SRS17125061","","9133.12","1","66412194","19923658200","RiboSeq-fpb1-1","RNA-Seq","TRANSCRIPTOMIC","PCR"
"SRX19723781","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090562","","1948.34","1","17227675","5168302500","S3_4_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723780","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090561","","2405.73","1","22137398","6641219400","S3_3_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723779","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090560","","1227.2","1","11474391","3442317300","S3_2_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723778","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090559","","2610.09","1","23105064","6931519200","S3_6_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723777","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090558","","3104.6","1","27437507","8231252100","S3_5_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723775","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090556","","2402.98","1","21340531","6402159300","S1_6_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723774","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090555","","3369.63","1","29901212","8970363600","S1_5_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723773","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090553","","2458.75","1","22830723","6849216900","S3_1_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723772","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090554","","2702.56","1","24030025","7209007500","S2_6_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723771","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090552","","1571.22","1","13877374","4163212200","S2_5_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723770","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090551","","2574.13","1","22789119","6836735700","S2_4_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723769","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090550","","1957.86","1","17775076","5332522800","S2_3_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723768","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090549","","682.92","1","6426922","1928076600","S2_2_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723767","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090548","","1650.63","1","14916621","4474986300","S2_1_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX19723763","Ribo_seq","Homo sapiens","Illumina HiSeq 2000","University of Alberta","SRP389318","A dynamic MARK4-FTO-PKR axis allows cap-dependent translation of m6A tagged mRNAs of stress related proteins on specialized cytoskeletal ribosomes during hyperacute cellular stress,","SRS17090544","","3574.25","1","31785772","9535731600","S1_4_1.fq.gz","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
