Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,source_name,GEO_Accession (exp),Library Name,TISSUE,Strain,Cell_type,Cell_line,TREATMENT,Age,Genotype,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Name,Submitter_Id,common_name,Broker_name,sex,BioSampleModel,molecule_subtype,REPLICATE,Organism_part,disease,Fraction,infect,inhibitors,internal_animal_id,Cultivar,Developmental_stage,Experimental_Factor:_infect (exp),sirna,Isolate,protocol,TIME_POINT,dev_stage,injection_route,SAMPLE_TYPE,BIOMATERIAL_PROVIDER,Experimental_Factor:_genotype (exp),rna_processing,sequencing_protocol,assay,Biological_Repeat,compound,Experimental_Factor:_protocol (exp),experiment_type,LINE,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,molecule_type,analyte_type,biospecimen_repository,biospecimen_repository_sample_id,body_site,Consent_Code,Ecotype,gap_accession,study_design,study_name,subject_is_affected,submitted_subject_id,BREED,Experimental_Factor:_compound (exp),Experimental_Factor:_MHV-A59 (exp),Experimental_Factor:_cycloheximide (exp),stress_type,agent,study_disease,growth_condition,rna_fraction,spike-in,oldname,tissue_source,genotype/variation,AssemblyName,BioSample_ID,Clone,collected_by,gender,rpl10_form,disease_stage,ethinicity,Collection_Date,Experimental_Factor:_1 (exp),Experimental_Factor:_harringtonine_+_cycloheximide (exp),cell_subtype,environmental_history,Experimental_Factor:_8 (exp),Experimental_Factor:_Mock (exp),Experimental_Factor:_sampling_time_point (exp),Molecule,profiling,rna_population,sample_treatment,Stage,strategy,viral_strain,assay_type,assay_types,genetic_modification,substrain,Day,library_strategy,Experimental_Factor:_dose (exp),experimental_factor:_infection,stimulation,transduced,assayed_molecule,Experimental_Factor:_stimulus (exp),Experimental_Factor:_strain (exp),HOST,Isolation_Source,Replicates,Replication,treatment_of_lysate
ERR4777062,OTHER,100,498253900,PRJEB41027,SAMEA7501806,151408942,UNIVERSITY OF VIENNA,public,"run.zq,bam,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",ERX4646881,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Pseudomonas aeruginosa PA14,ILLUMINA,2020-11-11T00:00:00Z,2020-12-22T08:30:00Z,1,SAMEA7501806,ERP124750,,,unspecified,,,,,,,,2020-11-10,2020-11-10,2020-10-30,2020-10-30,SAMEA7501806,UNIVERSITY OF VIENNA,UNIVERSITY OF VIENNA,2020-11-10T17:05:43Z,2020-10-30T11:45:38Z,public,riboseq_WT_tobramycin_rep1,riboseq_WT_tobramycin_rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR4777063,OTHER,100,2354170100,PRJEB41027,SAMEA7501807,739701129,UNIVERSITY OF VIENNA,public,"bam,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",ERX4646882,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Pseudomonas aeruginosa PA14,ILLUMINA,2020-11-11T00:00:00Z,2020-12-22T08:34:00Z,1,SAMEA7501807,ERP124750,,,unspecified,,,,,,,,2020-11-10,2020-11-10,2020-10-30,2020-10-30,SAMEA7501807,UNIVERSITY OF VIENNA,UNIVERSITY OF VIENNA,2020-11-10T17:05:43Z,2020-10-30T11:45:38Z,public,riboseq_WT_tobramycin_rep2,riboseq_WT_tobramycin_rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR4777065,OTHER,100,1360138800,PRJEB41027,SAMEA7501809,424162532,UNIVERSITY OF VIENNA,public,"sra,run.zq,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",ERX4646884,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Pseudomonas aeruginosa PA14,ILLUMINA,2020-11-11T00:00:00Z,2020-12-22T08:32:00Z,1,SAMEA7501809,ERP124750,,,unspecified,,,,,,,,2020-11-10,2020-11-10,2020-10-30,2020-10-30,SAMEA7501809,UNIVERSITY OF VIENNA,UNIVERSITY OF VIENNA,2020-11-10T17:05:43Z,2020-10-30T11:45:38Z,public,riboseq_WT_untreated_rep2,riboseq_WT_untreated_rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14602122,OTHER,50,6048195350,PRJNA731473,SAMN19285890,2032016733,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10947890,Illumina NovaSeq 6000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,2021-05-21T05:16:00Z,1,GSM5325965,SRP320668,"control HEK293T cells\, Riboseq/ILMN",GSM5325965,,"HEK293T\, GFP transfected\, cell line",,,,Treated with CHX for 5 min before cell lysis,,,,,,,,,,,,,,,,,,,,"#1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribo-seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14602126,OTHER,50,6897450150,PRJNA731473,SAMN19285888,2335258786,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX10947892,Illumina NovaSeq 6000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,2021-05-21T04:49:00Z,1,GSM5325967,SRP320668,"Treated HEK293T cells\, Riboseq/ILMN",GSM5325967,,"HEK293T\, GFP transfected\, cell line",,,,"Treated with harringtonine for 3 min\, followed by CHX for 5 min before cell lysis",,,,,,,,,,,,,,,,,,,,"#1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribo-seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14602133,OTHER,50,2841951300,PRJNA731473,SAMN19285884,1353679620,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX10947896,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-03-11T00:00:00Z,2021-05-20T17:51:00Z,1,GSM5325971,SRP320668,"liver tissue from young adult wild-type FVB mice\, Riboseq/ILMN",GSM5325971,,liver tissue,,,,untreated,,,,,,,,,,,,,,,,,,,,"#1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribo-seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14602134,OTHER,50,3611146800,PRJNA731473,SAMN19285916,1718682409,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX10947897,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-03-11T00:00:00Z,2021-05-21T02:48:00Z,1,GSM5325972,SRP320668,"liver tissue from young adult wild-type FVB mice\, Riboseq/ILMN",GSM5325972,,liver tissue,,,,untreated,,,,,,,,,,,,,,,,,,,,"#2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribo-seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14602135,OTHER,50,2873568850,PRJNA731473,SAMN19285915,1364044698,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10947898,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-03-11T00:00:00Z,2021-05-20T19:17:00Z,1,GSM5325973,SRP320668,"liver tissue from young adult wild-type FVB mice\, Riboseq/ILMN",GSM5325973,,liver tissue,,,,untreated,,,,,,,,,,,,,,,,,,,,"#3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribo-seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3804460,OTHER,76,1871376424,PRJEB36148,SAMEA6465084,668794544,Nerea Irigoyen,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",ERX3806350,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-05-19T00:00:00Z,2021-12-23T16:35:00Z,1,SAMEA6465084,ERP119301,,,5hpi_infected_1_s,,,fibroblast,17cl1 (RRID:CVCL_VT75),,,BALB/c,2021-05-18,2020-11-09,2021-05-18,2020-01-10,SAMEA6465084,"Division of Virology\, Department of Pathology\, University of Cambridge","Division of Virology\, Department of Pathology\, University of Cambridge",2020-11-09T04:04:33Z,2020-01-10T13:35:57Z,public,E-MTAB-8650:5hpi_infected_1,E-MTAB-8650:5hpi_infected_1,house mouse,ArrayExpress,,,,,,normal,,MHV-A59,,,,spontaneously immortalised cell line,MHV-A59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
ERR3804461,OTHER,76,1952621792,PRJEB36148,SAMEA6465085,689919899,Nerea Irigoyen,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",ERX3806351,NextSeq 500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2021-05-19T00:00:00Z,2021-12-22T03:04:00Z,1,SAMEA6465085,ERP119301,,,5hpi_infected_2_s,,,fibroblast,17cl1 (RRID:CVCL_VT75),,,BALB/c,2021-05-18,2020-11-09,2021-05-18,2020-01-10,SAMEA6465085,"Division of Virology\, Department of Pathology\, University of Cambridge","Division of Virology\, Department of Pathology\, University of Cambridge",2020-11-09T04:04:33Z,2020-01-10T13:35:57Z,public,E-MTAB-8650:5hpi_infected_2,E-MTAB-8650:5hpi_infected_2,house mouse,ArrayExpress,,,,,,normal,,MHV-A59,,,,spontaneously immortalised cell line,MHV-A59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
